"item1_1_player","item2_1_player","item3_1_player","item4_1_player","item5_1_player","item6_1_player","item7_1_player"
"Amplifying Tome","Boots of Speed","Frost Queen's Claim","Giant's Belt","Sightstone","Sweeping Lens (Trinket)","void"
"Amplifying Tome","Doran's Ring","Doran's Ring","Liandry's Torment","Sorcerer's Shoes","Warding Totem (Trinket)","Zhonya's Hourglass"
"Boots of Mobility","Frost Queen's Claim","Sightstone","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","Vision Ward","void"
"Frost Queen's Claim","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter","Seeker's Armguard","Sorcerer's Shoes","void"
"Blasting Wand","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes"
"Doran's Ring","Farsight Alteration","Liandry's Torment","Sorcerer's Shoes","Zhonya's Hourglass","void","void"
"Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)","void"
"Amplifying Tome","Eye of the Watchers","Forbidden Idol","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Sweeping Lens (Trinket)"
"Abyssal Scepter","Enchantment: Alacrity","Farsight Alteration","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","Void Staff"
"Doran's Ring","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Abyssal Scepter","Amplifying Tome","Enchantment: Distortion","Farsight Alteration","Liandry's Torment","Rylai's Crystal Scepter","void"
"Boots of Mobility","Frostfang","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Vision Ward"
"Boots of Mobility","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter","void"
"Boots of Speed","Doran's Ring","Doran's Ring","Haunting Guise","Health Potion","Rylai's Crystal Scepter","Warding Totem (Trinket)"
"Amplifying Tome","Doran's Ring","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Frost Queen's Claim","Giant's Belt","Needlessly Large Rod","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Warding Totem (Trinket)","void"
"Abyssal Scepter","Doran's Ring","Doran's Ring","Farsight Alteration","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Athene's Unholy Grail","Corrupting Potion","Liandry's Torment","Needlessly Large Rod","Oracle Alteration","Ruby Crystal","Sorcerer's Shoes"
"Aether Wisp","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","void"
"Amplifying Tome","Boots of Mobility","Farsight Alteration","Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","void"
"Amplifying Tome","Frost Queen's Claim","Needlessly Large Rod","Oracle Alteration","Sightstone","Sorcerer's Shoes","void"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Needlessly Large Rod","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Blasting Wand","Farsight Alteration","Liandry's Torment","Morellonomicon","Rylai's Crystal Scepter","Sorcerer's Shoes","Zhonya's Hourglass"
"Doran's Ring","Doran's Ring","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Total Biscuit of Rejuvenation","Vision Ward","Warding Totem (Trinket)"
"Amplifying Tome","Blasting Wand","Boots of Mobility","Frostfang","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Blasting Wand","Doran's Ring","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Amplifying Tome","Blasting Wand","Boots of Mobility","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Sightstone"
"Frostfang","Sightstone","Sweeping Lens (Trinket)","void","void","void","void"
"Corrupting Potion","Enchantment: Alacrity","Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Frost Queen's Claim","Giant's Belt","Liandry's Torment","Needlessly Large Rod","Sorcerer's Shoes","Warding Totem (Trinket)","Zhonya's Hourglass"
"Frostfang","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","void","void"
"Blasting Wand","Boots of Mobility","Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Vision Ward"
"Amplifying Tome","Frost Queen's Claim","Ruby Crystal","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Amplifying Tome","Frost Queen's Claim","Ionian Boots of Lucidity","Negatron Cloak","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)"
"Abyssal Scepter","Doran's Ring","Liandry's Torment","Luden's Echo","Rylai's Crystal Scepter","Warding Totem (Trinket)","deletedItem"
"Boots of Speed","Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","void"
"Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Sightstone","Void Staff"
"Doran's Ring","Farsight Alteration","Ionian Boots of Lucidity","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","void"
"Boots of Mobility","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Void Staff"
"Doran's Ring","Frost Queen's Claim","Haunting Guise","Needlessly Large Rod","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Blasting Wand","Boots of Mobility","Frost Queen's Claim","Haunting Guise","Warding Totem (Trinket)","void","void"
"Abyssal Scepter","Morellonomicon","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Enchantment: Alacrity","Frost Queen's Claim","Giant's Belt","Sightstone","Sweeping Lens (Trinket)","void","void"
"Blasting Wand","Doran's Ring","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Rabadon's Deathcap","Rylai's Crystal Scepter"
"Blasting Wand","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Total Biscuit of Rejuvenation","Warding Totem (Trinket)"
"Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Refillable Potion","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Boots of Mobility","Farsight Alteration","Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","Vision Ward","void"
"Doran's Ring","Doran's Ring","Giant's Belt","Haunting Guise","Health Potion","Ionian Boots of Lucidity","Warding Totem (Trinket)"
"Doran's Ring","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Void Staff","Warding Totem (Trinket)"
"Blasting Wand","Farsight Alteration","Haunting Guise","Ionian Boots of Lucidity","Luden's Echo","Rylai's Crystal Scepter","void"
"Frost Queen's Claim","Ionian Boots of Lucidity","Needlessly Large Rod","Rabadon's Deathcap","Ruby Sightstone","Rylai's Crystal Scepter","Warding Totem (Trinket)"
"Blasting Wand","Frost Queen's Claim","Negatron Cloak","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes"
"Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Athene's Unholy Grail","Blasting Wand","Corrupting Potion","Doran's Ring","Haunting Guise","Sorcerer's Shoes","Warding Totem (Trinket)"
"Amplifying Tome","Boots of Mobility","Doran's Ring","Frost Queen's Claim","Giant's Belt","Warding Totem (Trinket)","void"
"Boots of Mobility","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Morellonomicon","Rylai's Crystal Scepter","Sightstone"
"Amplifying Tome","Boots of Mobility","Frost Queen's Claim","Oracle Alteration","Ruby Crystal","Rylai's Crystal Scepter","Sightstone"
"Amplifying Tome","Frost Queen's Claim","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","void"
"Amplifying Tome","Frost Queen's Claim","Mejai's Soulstealer","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes"
"Amplifying Tome","Boots of Swiftness","Frost Queen's Claim","Giant's Belt","Liandry's Torment","Needlessly Large Rod","Warding Totem (Trinket)"
"Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Void Staff","void"
"Amplifying Tome","Blasting Wand","Doran's Ring","Doran's Ring","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Warding Totem (Trinket)"
"Blasting Wand","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)"
"Liandry's Torment","Sightstone","Spellthief's Edge","Sweeping Lens (Trinket)","deletedItem","void","void"
"Blasting Wand","Doran's Ring","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter"
"Cull","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Blasting Wand","Doran's Ring","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Aether Wisp","Frostfang","Giant's Belt","Liandry's Torment","Morellonomicon","Warding Totem (Trinket)","deletedItem"
"Enchantment: Alacrity","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Void Staff"
"Blasting Wand","Doran's Ring","Farsight Alteration","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Zhonya's Hourglass"
"Eye of the Watchers","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Zhonya's Hourglass","deletedItem","void"
"Boots of Speed","Doran's Ring","Needlessly Large Rod","Rylai's Crystal Scepter","Seeker's Armguard","Warding Totem (Trinket)","void"
"Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","void"
"Boots of Mobility","Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Total Biscuit of Rejuvenation","void","void"
"Amplifying Tome","Frost Queen's Claim","Needlessly Large Rod","Ruby Crystal","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Oracle Alteration","Sightstone","deletedItem","void"
"Blasting Wand","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Frost Queen's Claim","Ionian Boots of Lucidity","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Total Biscuit of Rejuvenation","Vision Ward"
"Banner of Command","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Blasting Wand","Eye of the Watchers","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sorcerer's Shoes","void"
"Amplifying Tome","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)"
"Farsight Alteration","Ionian Boots of Lucidity","Rabadon's Deathcap","Rod of Ages","Rylai's Crystal Scepter","Void Staff","Zhonya's Hourglass"
"Doran's Ring","Ionian Boots of Lucidity","Rabadon's Deathcap","Rylai's Crystal Scepter","Vision Ward","Warding Totem (Trinket)","void"
"Blasting Wand","Farsight Alteration","Frostfang","Luden's Echo","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes"
"Amplifying Tome","Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","void"
"Banshee's Veil","Frost Queen's Claim","Mercury's Treads","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Vision Ward"
"Amplifying Tome","Blasting Wand","Boots of Speed","Doran's Ring","Ruby Crystal","Rylai's Crystal Scepter","Warding Totem (Trinket)"
"Aether Wisp","Boots of Mobility","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","void"
"Frost Queen's Claim","Giant's Belt","Needlessly Large Rod","Ruby Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","void"
"Boots of Mobility","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Vision Ward"
"Blasting Wand","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Sightstone"
"Frost Queen's Claim","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter","Sorcerer's Shoes","Vision Ward","Zhonya's Hourglass"
"Chalice of Harmony","Fiendish Codex","Morellonomicon","Rylai's Crystal Scepter","Sorcerer's Shoes","Vision Ward","Warding Totem (Trinket)"
"Frost Queen's Claim","Haunting Guise","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","void","void"
"Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Total Biscuit of Rejuvenation","Warding Totem (Trinket)","void","void"
"Doran's Ring","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Doran's Ring","Liandry's Torment","Rylai's Crystal Scepter","Warding Totem (Trinket)","deletedItem","void","void"
"Amplifying Tome","Doran's Ring","Ionian Boots of Lucidity","Rabadon's Deathcap","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)"
"Boots of Speed","Corrupting Potion","Eye of the Watchers","Liandry's Torment","Needlessly Large Rod","Oracle Alteration","The Dark Seal"
"Amplifying Tome","Frost Queen's Claim","Ruby Crystal","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Warding Totem (Trinket)","void"
"Berserker's Greaves","Blade of the Ruined King","Dagger","Oracle Alteration","Zeal","void","void"
"Frost Queen's Claim","Giant's Belt","Ionian Boots of Lucidity","Warding Totem (Trinket)","void","void","void"
"Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","void","void"
"Blasting Wand","Boots of Speed","Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","void"
"Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","void"
"Morellonomicon","Needlessly Large Rod","Seeker's Armguard","The Dark Seal","Warding Totem (Trinket)","deletedItem","void"
"Amplifying Tome","Amplifying Tome","Boots of Speed","Doran's Ring","Giant's Belt","Health Potion","Warding Totem (Trinket)"
"Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Vision Ward"
"Aether Wisp","Athene's Unholy Grail","Farsight Alteration","Rabadon's Deathcap","Rylai's Crystal Scepter","Sorcerer's Shoes","Void Staff"
"Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Warding Totem (Trinket)","void","void"
"Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","deletedItem","void","void"
"Boots of Mobility","Frost Queen's Claim","Sightstone","Warding Totem (Trinket)","void","void","void"
"Amplifying Tome","Eye of the Watchers","Liandry's Torment","Rylai's Crystal Scepter","Sweeping Lens (Trinket)","deletedItem","void"
"Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sightstone","deletedItem"
"Doran's Ring","Farsight Alteration","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Zhonya's Hourglass","void"
"Fiendish Codex","Haunting Guise","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Spellthief's Edge","Sweeping Lens (Trinket)"
"Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","void"
"Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Sightstone","void","void"
"Boots of Speed","Frost Queen's Claim","Rylai's Crystal Scepter","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","void","void"
"Doran's Ring","Farsight Alteration","Luden's Echo","Rylai's Crystal Scepter","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Zhonya's Hourglass"
"Blasting Wand","Doran's Ring","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","Zhonya's Hourglass"
"Amplifying Tome","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Ruby Crystal","Rylai's Crystal Scepter","Sightstone"
"Elixir of Sorcery","Enchantment: Captain","Frost Queen's Claim","Morellonomicon","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter"
"Doran's Ring","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","void"
"Amplifying Tome","Doran's Ring","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Warding Totem (Trinket)","Zhonya's Hourglass","void"
"Amplifying Tome","Doran's Ring","Farsight Alteration","Liandry's Torment","Morellonomicon","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Amplifying Tome","Boots of Speed","Frostfang","Giant's Belt","Needlessly Large Rod","Sightstone","Sweeping Lens (Trinket)"
"Fiendish Codex","Frostfang","Ionian Boots of Lucidity","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Void Staff"
"Blasting Wand","Frostfang","Haunting Guise","Sightstone","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Frost Queen's Claim","Giant's Belt","Ionian Boots of Lucidity","Needlessly Large Rod","Oracle Alteration","Sightstone","Vision Ward"
"Amplifying Tome","Ionian Boots of Lucidity","Rabadon's Deathcap","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)","void"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Health Potion","Ionian Boots of Lucidity","Oracle Alteration","Sightstone"
"Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","void","void"
"Boots of Speed","Frost Queen's Claim","Needlessly Large Rod","Sightstone","Sweeping Lens (Trinket)","void","void"
"Eye of the Watchers","Forbidden Idol","Ionian Boots of Lucidity","Oracle Alteration","Ruby Crystal","Total Biscuit of Rejuvenation","Vision Ward"
"Enchantment: Alacrity","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Sightstone","Sweeping Lens (Trinket)","Zhonya's Hourglass"
"Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Sightstone","void"
"Athene's Unholy Grail","Blasting Wand","Doran's Ring","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Amplifying Tome","Blasting Wand","Farsight Alteration","Ionian Boots of Lucidity","Liandry's Torment","Morellonomicon","Rylai's Crystal Scepter"
"Amplifying Tome","Doran's Ring","Farsight Alteration","Frost Queen's Claim","Rylai's Crystal Scepter","Sorcerer's Shoes","Vision Ward"
"Doran's Ring","Farsight Alteration","Ionian Boots of Lucidity","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","void"
"Enchantment: Captain","Frost Queen's Claim","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)"
"Blasting Wand","Doran's Ring","Doran's Ring","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Warding Totem (Trinket)","void"
"Blasting Wand","Frost Queen's Claim","Haunting Guise","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","void"
"Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Void Staff","Zhonya's Hourglass","void"
"Doran's Ring","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Warding Totem (Trinket)","Zhonya's Hourglass","void","void"
"Blasting Wand","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Sightstone"
"Blasting Wand","Enchantment: Alacrity","Frost Queen's Claim","Ruby Sightstone","Rylai's Crystal Scepter","Sweeping Lens (Trinket)","Void Staff"
"Amplifying Tome","Blasting Wand","Frost Queen's Claim","Oracle Alteration","Ruby Sightstone","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Blasting Wand","Doran's Ring","Enchantment: Alacrity","Farsight Alteration","Liandry's Torment","Needlessly Large Rod","Rod of Ages"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Ionian Boots of Lucidity","Needlessly Large Rod","Oracle Alteration","Sightstone"
"Blasting Wand","Frost Queen's Claim","Haunting Guise","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation"
"Doran's Ring","Doran's Ring","Enchantment: Alacrity","Farsight Alteration","Liandry's Torment","Rylai's Crystal Scepter","Seeker's Armguard"
"Blasting Wand","Eye of the Watchers","Morellonomicon","Rylai's Crystal Scepter","Sorcerer's Shoes","Sweeping Lens (Trinket)","Vision Ward"
"Amplifying Tome","Farsight Alteration","Ionian Boots of Lucidity","Morellonomicon","Rabadon's Deathcap","Rylai's Crystal Scepter","Void Staff"
"Amplifying Tome","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Ruby Crystal","Rylai's Crystal Scepter","Sightstone"
"Doran's Ring","Doran's Ring","Liandry's Torment","Refillable Potion","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Amplifying Tome","Frost Queen's Claim","Ionian Boots of Lucidity","Needlessly Large Rod","Ruby Crystal","Sightstone","Warding Totem (Trinket)"
"Ionian Boots of Lucidity","Liandry's Torment","Oracle Alteration","Rabadon's Deathcap","Rylai's Crystal Scepter","Sightstone","Void Staff"
"Amplifying Tome","Boots of Speed","Frostfang","Sightstone","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","void"
"Amplifying Tome","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter","void"
"Frost Queen's Claim","Luden's Echo","Oracle Alteration","Ruby Sightstone","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Zhonya's Hourglass"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Haunting Guise","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)"
"Boots of Mobility","Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Vision Ward","void"
"Enchantment: Distortion","Frost Queen's Claim","Liandry's Torment","Ruby Sightstone","Rylai's Crystal Scepter","Sweeping Lens (Trinket)","Void Staff"
"Fiendish Codex","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)"
"Elixir of Sorcery","Enchantment: Alacrity","Farsight Alteration","Frost Queen's Claim","Morellonomicon","Rabadon's Deathcap","Rylai's Crystal Scepter"
"Blasting Wand","Farsight Alteration","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","Sorcerer's Shoes","Zhonya's Hourglass"
"Enchantment: Distortion","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Ruby Sightstone","Rylai's Crystal Scepter","Vision Ward"
"Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Vision Ward","deletedItem"
"Amplifying Tome","Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Vision Ward"
"Amplifying Tome","Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Vision Ward"
"Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes"
"Doran's Ring","Fiendish Codex","Liandry's Torment","Rylai's Crystal Scepter","Void Staff","Warding Totem (Trinket)","deletedItem"
"Frost Queen's Claim","Ionian Boots of Lucidity","Needlessly Large Rod","Sightstone","Sweeping Lens (Trinket)","Vision Ward","void"
"Amplifying Tome","Boots of Speed","Frostfang","Sightstone","Sweeping Lens (Trinket)","void","void"
"Corrupting Potion","Eye of the Watchers","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes","Sweeping Lens (Trinket)","Vision Ward"
"Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Warding Totem (Trinket)","void","void"
"Blasting Wand","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Warding Totem (Trinket)","void"
"Frost Queen's Claim","Giant's Belt","Ionian Boots of Lucidity","Needlessly Large Rod","Ruby Crystal","Sightstone","Sweeping Lens (Trinket)"
"Doran's Ring","Doran's Ring","Farsight Alteration","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rylai's Crystal Scepter"
"Aether Wisp","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes"
"Boots of Mobility","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Total Biscuit of Rejuvenation","Vision Ward"
"Blasting Wand","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Athene's Unholy Grail","Corrupting Potion","Doran's Ring","Farsight Alteration","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes"
"Blasting Wand","Boots of Mobility","Frostfang","Liandry's Torment","Needlessly Large Rod","Oracle Alteration","Sightstone"
"Enchantment: Alacrity","Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Vision Ward"
"Farsight Alteration","Frost Queen's Claim","Morellonomicon","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes","void"
"Frost Queen's Claim","Giant's Belt","Haunting Guise","Needlessly Large Rod","Oracle Alteration","Sightstone","Sorcerer's Shoes"
"Amplifying Tome","Frost Queen's Claim","Ionian Boots of Lucidity","Needlessly Large Rod","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Corrupting Potion","Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Blasting Wand","Doran's Ring","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Warding Totem (Trinket)"
"Farsight Alteration","Fiendish Codex","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Sightstone"
"Amplifying Tome","Blasting Wand","Doran's Ring","Luden's Echo","Morellonomicon","Warding Totem (Trinket)","deletedItem"
"Blasting Wand","Doran's Ring","Ionian Boots of Lucidity","Liandry's Torment","Rylai's Crystal Scepter","Warding Totem (Trinket)","Zhonya's Hourglass"
"Enchantment: Distortion","Frost Queen's Claim","Oracle Alteration","Ruby Crystal","Rylai's Crystal Scepter","Sightstone","Vision Ward"
"Amplifying Tome","Boots of Speed","Doran's Ring","Haunting Guise","Warding Totem (Trinket)","void","void"
"Farsight Alteration","Frost Queen's Claim","Rabadon's Deathcap","Rylai's Crystal Scepter","Sorcerer's Shoes","void","void"
"Enchantment: Alacrity","Eye of the Watchers","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Vision Ward","void"
"Doran's Ring","Liandry's Torment","Rylai's Crystal Scepter","Seeker's Armguard","Sorcerer's Shoes","Warding Totem (Trinket)","void"
